binomial,genus,family,fossilArea,Area,taxon
Amnirana lepus,Amnirana,RANIDAE,168301.2548,1950046.033,Amphibian
Amnirana longipes,Amnirana,RANIDAE,225.7517645,37618.58866,Amphibian
Amnirana occidentalis,Amnirana,RANIDAE,3398.938538,331632.0875,Amphibian
Amnirana parkeriana,Amnirana,RANIDAE,0,1147.517371,Amphibian
Amolops akhaorum,Amolops,RANIDAE,0,568.7996742,Amphibian
Amolops albispinus,Amolops,RANIDAE,46.45162608,985.4521787,Amphibian
Amolops aniqiaoensis,Amolops,RANIDAE,0,586.3223924,Amphibian
Amolops archotaphus,Amolops,RANIDAE,0,844.2732732,Amphibian
Amolops assamensis,Amolops,RANIDAE,1149.625463,1149.625463,Amphibian
Amolops bellulus,Amolops,RANIDAE,0,389.3991831,Amphibian
Amolops caelumnoctis,Amolops,RANIDAE,0,218.0949834,Amphibian
Amolops chakrataensis,Amolops,RANIDAE,0,669.1621002,Amphibian
Amolops chayuensis,Amolops,RANIDAE,0,6.730101582,Amphibian
Amolops chunganensis,Amolops,RANIDAE,1044.589976,197911.8928,Amphibian
Amolops compotrix,Amolops,RANIDAE,0,28675.82928,Amphibian
Amolops cremnobatus,Amolops,RANIDAE,0.053110337,121959.7308,Amphibian
Amolops cucae,Amolops,RANIDAE,0,490.3196766,Amphibian
Amolops daiyunensis,Amolops,RANIDAE,112.27430150000001,16016.38445,Amphibian
Amolops formosus,Amolops,RANIDAE,4157.850085,154217.9732,Amphibian
Amolops gerbillus,Amolops,RANIDAE,5709.362949,75469.66163,Amphibian
Amolops granulosus,Amolops,RANIDAE,834.788403,139497.0504,Amphibian
Amolops hainanensis,Amolops,RANIDAE,0,12940.42662,Amphibian
Amolops hongkongensis,Amolops,RANIDAE,0.244162085,283.8222782,Amphibian
Amolops iriodes,Amolops,RANIDAE,0,553.7572832,Amphibian
Amolops jaunsari,Amolops,RANIDAE,0,572.8800947,Amphibian
Amolops jinjiangensis,Amolops,RANIDAE,0,128717.0026,Amphibian
Amolops kaulbacki,Amolops,RANIDAE,0,9397.766822,Amphibian
Amolops larutensis,Amolops,RANIDAE,1345.681138,104870.5152,Amphibian
Amolops lifanensis,Amolops,RANIDAE,618.3331295,15793.41604,Amphibian
Amolops loloensis,Amolops,RANIDAE,0,61846.21093,Amphibian
Amolops longimanus,Amolops,RANIDAE,0,6631.70909,Amphibian
Amolops mantzorum,Amolops,RANIDAE,96.74363906,95362.20192,Amphibian
Amolops marmoratus,Amolops,RANIDAE,9801.858649,292819.348,Amphibian
Amolops medogensis,Amolops,RANIDAE,0,525.3429848,Amphibian
Amolops mengdingensis,Amolops,RANIDAE,0,10.48233245,Amphibian
Amolops mengyangensis,Amolops,RANIDAE,0,5969.519457,Amphibian
Amolops minutus,Amolops,RANIDAE,0,895.6364924,Amphibian
Amolops monticola,Amolops,RANIDAE,18.46114293,51908.1285,Amphibian
Amolops nepalicus,Amolops,RANIDAE,0,1.598516426,Amphibian
Amolops nyingchiensis,Amolops,RANIDAE,0,2652.50055,Amphibian
Amolops panhai,Amolops,RANIDAE,2.202243391,23891.43588,Amphibian
Amolops ricketti,Amolops,RANIDAE,7746.47834,820740.499,Amphibian
Amolops shuichengicus,Amolops,RANIDAE,0,10.98637608,Amphibian
Amolops spinapectoralis,Amolops,RANIDAE,0,26439.18055,Amphibian
Amolops splendissimus,Amolops,RANIDAE,0,4181.172811,Amphibian
Amolops torrentis,Amolops,RANIDAE,0,15783.39153,Amphibian
Amolops tuberodepressus,Amolops,RANIDAE,0,7229.983946,Amphibian
Amolops viridimaculatus,Amolops,RANIDAE,0,10982.00169,Amphibian
Amolops vitreus,Amolops,RANIDAE,0,2984.284832,Amphibian
Amolops wenshanensis,Amolops,RANIDAE,0,2049.928467,Amphibian
Amolops wuyiensis,Amolops,RANIDAE,357.9851522,102729.7494,Amphibian
Amolops xinduqiao,Amolops,RANIDAE,0,37081.15251,Amphibian
Amolops yunkaiensis,Amolops,RANIDAE,0,33.72125138,Amphibian
Amphiuma means,Amphiuma,AMPHIUMIDAE,72649.25107,491480.0143,Amphibian
Amphiuma pholeter,Amphiuma,AMPHIUMIDAE,6285.016679,52177.18305,Amphibian
Amphiuma tridactylum,Amphiuma,AMPHIUMIDAE,128617.769,477335.8657,Amphibian
Anaxyrus americanus,Anaxyrus,BUFONIDAE,69016.81477,5225415.892,Amphibian
Anaxyrus baxteri,Anaxyrus,BUFONIDAE,0,105.5660972,Amphibian
Anaxyrus boreas,Anaxyrus,BUFONIDAE,256391.9284,2853320.237,Amphibian
Anaxyrus californicus,Anaxyrus,BUFONIDAE,637.8099475,57793.42088,Amphibian
Anaxyrus canorus,Anaxyrus,BUFONIDAE,0,10315.44563,Amphibian
Anaxyrus cognatus,Anaxyrus,BUFONIDAE,313650.641,2795176.311,Amphibian
Anaxyrus compactilis,Anaxyrus,BUFONIDAE,49979.00692,314847.5917,Amphibian
Anaxyrus debilis,Anaxyrus,BUFONIDAE,288837.0738,1460749.419,Amphibian
