"","id_no","binomial","presence","origin","seasonal","compiler","yrcompiled","citation","subspecies","subpop","source","island","tax_comm","dist_comm","generalisd","legend","kingdom","phylum","class","order_","family","genus","category","marine","terrestial","freshwater","SHAPE_Leng","SHAPE_Area"
"4031",136233,"Miniopterus paululus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Balambangam",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","MINIOPTERIDAE","Miniopterus","DD","false","true","false",0.725708094338,0.00899823502665
"4032",136233,"Miniopterus paululus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Negros",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","MINIOPTERIDAE","Miniopterus","DD","false","true","false",6.54856931784,1.05503113003
"4033",136233,"Miniopterus paululus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Timor",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","MINIOPTERIDAE","Miniopterus","DD","false","true","false",11.6208149653,2.35219262995
"4034",136233,"Miniopterus paululus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Selaru",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","MINIOPTERIDAE","Miniopterus","DD","false","true","false",1.36151794578,0.0286528500483
"4035",136233,"Miniopterus paululus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Roti",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","MINIOPTERIDAE","Miniopterus","DD","false","true","false",2.68594037231,0.100915099993
"4036",136233,"Miniopterus paululus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Guimaras",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","MINIOPTERIDAE","Miniopterus","DD","false","true","false",1.22738516453,0.0481932450316
"4037",136233,"Miniopterus paululus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Sawu",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","MINIOPTERIDAE","Miniopterus","DD","false","true","false",0.828751292058,0.0320870900288
"4038",136233,"Miniopterus paululus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Sumbawa",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","MINIOPTERIDAE","Miniopterus","DD","false","true","false",12.1553417343,1.1778464649
"4039",16733,"Petinomys crinitus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Mindanao",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE","Petinomys","LC","false","true","false",17.3118950177,2.55707446452
"4040",16733,"Petinomys crinitus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Siargao",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE","Petinomys","LC","false","true","false",1.12647174419,0.0349593499574
"4041",16733,"Petinomys crinitus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Dinagat",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE","Petinomys","LC","false","true","false",2.66458864925,0.0681742149768
"4042",16733,"Petinomys crinitus",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,"Basilan",NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","SCIURIDAE","Petinomys","LC","false","true","false",1.59266016028,0.101932260033
"4043",16686,"Peromyscus polius",1,1,1,"IUCN SSC Small Mammal Specialist Group",2017,"IUCN SSC Small Mammal Specialist Group",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE","Peromyscus","NT","false","true","false",5.22670745719,1.31487134511
"4044",7138,"Elephantulus rupestris",1,1,1,"Galen B. Rathbun",2015,"G.B. Rathbun, California Academy of Sciences, www.sengis.org",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","MACROSCELIDEA","MACROSCELIDIDAE","Elephantulus","LC","false","true","false",49.3538045018,51.5368926602
"4045",88110352,"Carollia benkeithi",1,1,1,"IUCN",2018,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","CHIROPTERA","PHYLLOSTOMIDAE","Carollia","LC","false","true","false",70.1691835215,174.587403083
"4046",10281,"Hybomys planifrons",1,1,1,"IUCN",2008,"IUCN (International Union for Conservation of Nature)",NA,NA,NA,NA,NA,NA,0,"Extant (resident)","ANIMALIA","CHORDATA","MAMMALIA","RODENTIA","MURIDAE","Hybomys","LC","false","true","false",24.6742393417,19.6595854107
