FID,id_no,binomial,presence,origin,seasonal,compiler,yrcompiled,citation,subspecies,subpop,source,island,tax_comm,dist_comm,generalisd,legend,kingdom,phylum,class,order_,family,genus,category,marine,terrestial,freshwater,SHAPE_Leng,SHAPE_Area
4054,54655,Rhinella granulosa,1,1,1,IUCN,2009,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Rhinella,LC,false,true,true,302.8323787,920.3158093
4055,76317590,Amolops chayuensis,1,1,1,Louise Hobin,2019,IUCN (International Union for Conservation of Nature) & Conservation International., , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RANIDAE,Amolops,DD,false,true,true,0.088354114,0.000621191
4056,164890,Boophis lilianae,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Boophis,DD,false,true,true,0.016948318,2.28532E-05
4057,61860,Arthroleptella subvoce,1,1,1,Alex Rebelo,2016,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , ,"Turner, de Villiers, Dawood and Channing, 2004", , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PYXICEPHALIDAE,Arthroleptella,CR,false,true,false,0.443986889,0.003980036
4058,56986,Pristimantis surdus,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CRAUGASTORIDAE,Pristimantis,EN,false,true,false,3.224272931,0.09778246
4059,58107,Phrynobatrachus dispar,1,1,1,Evie J Morris,2013,"IUCN (International Union for Conservation of Nature), Conservation International.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PHRYNOBATRACHIDAE,Phrynobatrachus,LC,false,true,true,0.345595786,0.005689312
4060,55011,Hyalinobatrachium eccentricum,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CENTROLENIDAE,Hyalinobatrachium,DD,false,true,true,0.076939392,0.00047106
4061,57744,Callulops stictogaster,1,1,1,Sean Lyon,2019,IUCN (International Union for Conservation of Nature) and Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Callulops,LC,false,true,false,7.772687385,1.324579358
4062,57386,Boophis albilabris,1,1,1,IUCN,2008,International Union for Conservation of Nature (IUCN), , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Boophis,LC,false,true,true,27.60463437,7.077436113
4063,56380,Cycloramphus stejnegeri,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,CYCLORAMPHIDAE,Cycloramphus,DD,false,true,false,1.245478602,0.092589712
4064,56208,Hyperolius steindachneri,1,1,1,Evie J Morrs,2013,"IUCN (International Union for Conservation of Nature), Conservation International.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Hyperolius,LC,false,false,true,38.32790233,16.95457201
4065,51147467,Oedipina tzutujilorum,1,1,1,Kelsey Neam,2019,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Oedipina,EN,false,true,false,0.45136156,0.007396925
4066,54746,Sclerophrys reesi,1,1,1,IUCN,2014,"IUCN (International Union for Conservation of Nature), Conservation International", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,BUFONIDAE,Sclerophrys,DD,false,true,true,1.236291642,0.094251177
4067,55473,Dendropsophus elegans,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Dendropsophus,LC,false,true,true,72.40192464,55.81199632
4068,55206,Ranitomeya vanzolinii,1,1,1,Ariadne Angulo,2013,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DENDROBATIDAE,Ranitomeya,LC,false,true,true,13.44423791,10.59988564
4069,136191,Pseudohynobius shuichengensis,1,1,1,Jie Wang,2019,IUCN (International Union for Conservation of Nature) & Conservation International, , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,HYNOBIIDAE,Pseudohynobius,CR,false,true,true,0.121867826,0.001175907
4070,57724,Glyphoglossus flavus,1,1,1,IUCN,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Glyphoglossus,LC,false,true,true,1.967373563,0.249360189
4071,57724,Glyphoglossus flavus,1,1,1,Kelsey Neam,2018,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MICROHYLIDAE,Glyphoglossus,LC,false,true,true,1.284339762,0.054264137
4072,56100,Heterixalus carbonei,1,1,1,Jennifer Luedtke,2015,International Union for Conservation of Nature (IUCN), , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Heterixalus,LC,false,true,true,3.977182151,0.152969418
4073,56100,Heterixalus carbonei,1,1,1,IUCN,2015,International Union for Conservation of Nature (IUCN), , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYPEROLIIDAE,Heterixalus,LC,false,true,true,1.369912309,0.109707516
4074,55411,Dendropsophus bipunctatus,1,1,1,IUCN,2008,"IUCN (International Union for Conservation of Nature), Conservation International & NatureServe.", , , , , , ,0,Extant (resident),ANIMALIA,CHORDATA,AMPHIBIA,ANURA,HYLIDAE,Dendropsophus,LC,false,true,true,45.81974023,12.7097194
