OBJECTID,id_no,binomial,orig_area_km2
347,2395,Auliscomys boliviensis,210616.3101259133
348,2397,Auliscomys pictus,309580.18676201691
349,2398,Auliscomys sublimis,393475.20257479971
350,21313,Austronomus australis,6026447.4572231136
351,136201,Austronomus kuboriensis,107966.9334713501
352,136767,Avahi betsileo,970.9942384239846
353,136335,Avahi cleesei,459.83206029813653
354,2434,Avahi laniger,51920.906748178881
355,136369,Avahi meridionalis,1559.7689660171391
356,16971566,Avahi mooreorum,1992.2723123835599
357,2435,Avahi occidentalis,3050.1552944452728
358,136285,Avahi peyrierasi,4374.3217173558851
359,136434,Avahi ramanantsoavanai,5832.063930916016
360,41579,Avahi unicolor,581.33161882242484
361,41783,Axis axis,2361142.4620241141
362,2446,Axis calamianensis,1345.3221836217331
363,2447,Axis kuhlii,63.797774914125817
364,41784,Axis porcinus,362986.86056023272
365,2461,Babyrousa babyrussa,13191.945271212249
366,136446,Babyrousa celebensis,135977.72971264881
367,136472,Babyrousa togeanensis,533.08388464869631
368,19679,Baeodon alleni,261935.2612182477
369,19681,Baeodon gracilis,178188.14756456891
370,2465,Baiomys musculus,450192.5554743933
371,2466,Baiomys taylori,1275218.304678886
372,10311,Baiyankamys habbema,777.78839767036152
373,10314,Baiyankamys shawmayeri,65470.304912133601
374,2467,Balaena mysticetus,9201251.7600421701
375,2474,Balaenoptera acutorostrata,346867348.42166692
376,2480,Balaenoptera bonaerensis,173675420.89281079
377,2475,Balaenoptera borealis,316128554.5154314
378,2476,Balaenoptera edeni,224187969.38130131
379,2477,Balaenoptera musculus,343194635.59362429
380,136623,Balaenoptera omurai,14859153.2686974
381,2478,Balaenoptera physalus,206330511.4766928
382,2531,Balantiopteryx infusca,2841.659153076831
383,2532,Balantiopteryx io,170580.08656531101
384,2533,Balantiopteryx plicata,824867.48502027465
385,84454322,Balionycteris maculata,439669.95267946151
386,84454980,Balionycteris seimundi,130696.5005492151
387,2540,Bandicota bengalensis,4164220.3570213378
388,2541,Bandicota indica,5515997.9031965341
389,2542,Bandicota savilei,866566.01756579056
390,2553,Barbastella barbastellus,3807517.3190038428
391,85180824,Barbastella beijingensis,584.87707091290281
392,85181182,Barbastella leucomelas,3926619.5717281629
393,48637566,Bassaricyon alleni,4448938.1231883178
394,48637946,Bassaricyon gabbii,156420.11010440119
395,48637802,Bassaricyon medius,181890.13240323149
396,48637280,Bassaricyon neblina,120399.10150156
397,41680,Bassariscus astutus,3903719.7754018428
398,2613,Bassariscus sumichrasti,622171.48273177142
399,2619,Bathyergus janetta,12035.141387276641
400,2620,Bathyergus suillus,44079.647657451897
401,2642,Batomys dentatus,453.87099353054299
402,111876319,Batomys granti,5211.9758478000031
403,45954108,Batomys hamiguitan,48.172796713999539
404,136394,Batomys russatus,826.35732028606208
405,2643,Batomys salomonseni,16015.530991799789
406,111876611,Batomys uragon,66.459998840708948
407,1789,Bauerus dubiaquercus,265260.21891118411
408,41591,Bdeogale crassicauda,1497544.3945691269
409,2675,Bdeogale jacksoni,63953.08448680232
410,41592,Bdeogale nigripes,2110583.8148173969
411,136686,Bdeogale omnivora,28493.059603831171
412,2676,Beamys hindei,337354.98118469951
413,6234,Beatragus hunteri,11330.990707302
414,2756,Belomys pearsonii,525683.29679996229
415,2762,Berardius arnuxii,105214742.9490032
416,2763,Berardius bairdii,22769893.146776769
417,2767,Berylmys berdmorei,660821.69966197677
418,2768,Berylmys bowersi,2558054.3263106602
419,2769,Berylmys mackenziei,101476.7689907982
420,2770,Berylmys manipulus,214079.49702221001
421,2783,Bettongia gaimardi,29085.596956780209
422,2784,Bettongia lesueur,979.81754378527103
423,2785,Bettongia penicillata,4058.276974451901
424,2787,Bettongia tropica,396.7831946454437
425,2801,Bibimys chacoensis,27945.214292365112
426,2802,Bibimys labiosus,361535.83343377413
427,2803,Bibimys torresi,12372.07157322953
428,2815,Bison bison,140671.6179965724
429,2814,Bison bonasus,24303.58989205565
430,2816,Biswamoyopterus biswasi,3760.5975048186888
431,88700294,Biswamoyopterus laoensis,2816.1150412958841
432,2823,Blanfordimys afghanus,409947.7778067452
433,2824,Blanfordimys bucharensis,116179.6279034765
434,41451,Blarina brevicauda,4106731.3477896871
435,41452,Blarina carolinensis,866124.06198503484
436,41453,Blarina hylophaga,727976.35336349066
437,136365,Blarinella griselda,439058.42078440939
438,40613,Blarinella quadraticauda,17610.768162415741
439,2825,Blarinella wardi,114888.0557497117
440,2827,Blarinomys breviceps,437004.57263337559
441,2828,Blastocerus dichotomus,4234154.1833575442
442,19749,Boneia bidens,154150.0427865845
443,2891,Bos gaurus,1370056.9032730199
444,2888,Bos javanicus,183622.92106534971
445,2892,Bos mutus,469488.60562441731
446,2890,Bos sauveli,35806.867061786368
447,2893,Boselaphus tragocamelus,2289576.1168481591
448,2957,Brachiones przewalskii,861710.2075744071
449,2963,Brachylagus idahoensis,480339.95694928762
450,2982,Brachyphylla cavernarum,14907.71075815022
451,2983,Brachyphylla nana,195038.68531992621
452,2991,Brachytarsomys albicauda,64734.983131506262
