OBJECTID,FID_modeled_reptiles,Binomial,Group,Area (km2)
252,347,Ameiva chrysolaema,lizard,4461.616742
253,351,Ameiva dorsalis,lizard,355.6815158
254,352,Ameiva erythrocephala,lizard,24.74992047
255,353,Ameiva exsul,lizard,728.8438485
256,354,Ameiva fuliginosa,lizard,0.304371501
257,355,Ameiva fuscata,lizard,25.10719363
258,356,Ameiva griswoldi,lizard,5.409446813
259,358,Ameiva lineolata,lizard,2523.562981
260,359,Ameiva maynardi,lizard,1130.316927
261,360,Ameiva nodam,lizard,3988.139502
262,361,Ameiva pantherina,lizard,954.3927951
263,362,Ameiva parecis,lizard,10740.19029
264,364,Ameiva pluvianotata,lizard,6.684216081
265,365,Ameiva polops,lizard,25.33153612
266,366,Ameiva praesignis,lizard,120474.9603
267,369,Ameiva taeniura,lizard,4878.391237
268,370,Ameiva wetmorei,lizard,9.135713164
269,371,Ameivula abaetensis,lizard,1723.756264
270,372,Ameivula abalosi,lizard,114962.3176
271,376,Ameivula jalapensis,lizard,0.361871276
272,377,Ameivula littoralis,lizard,4104.091205
273,379,Ameivula nativo,lizard,630.7587202
274,380,Ameivula nigrigula,lizard,6.669430092
275,381,Ameivula ocellifera,lizard,984862.5607
276,382,Ameivula pyrrhogularis,lizard,549.2545512
277,385,Amerotyphlops amoipira,snake,16953.42221
278,387,Amerotyphlops brongersmianus,snake,2306091.166
279,388,Amerotyphlops costaricensis,snake,5127.292714
280,390,Amerotyphlops microstomus,snake,14944.20849
281,391,Amerotyphlops minuisquamus,snake,4186.674996
282,392,Amerotyphlops paucisquamus,snake,14775.30469
283,393,Amerotyphlops reticulatus,snake,1262172.307
284,394,Amerotyphlops stadelmani,snake,690.8542589
285,396,Amerotyphlops tenuis,snake,9830.927905
286,397,Amerotyphlops trinitatus,snake,19.17656954
287,399,Amerotyphlops yonenagae,snake,12994.66633
288,401,Amphibolurus muricatus,lizard,101678.2667
289,402,Amphibolurus norrisi,lizard,139275.7889
290,403,Amphiesma stolatum,snake,1836761.172
291,404,Amphiesmoides ornaticeps,snake,3133.889817
292,405,Amphiglossus alluaudi,lizard,215.9205635
293,406,Amphiglossus andranovahensis,lizard,7133.275249
294,408,Amphiglossus ardouini,lizard,1201.536851
295,409,Amphiglossus astrolabi,lizard,4533.115346
296,410,Amphiglossus crenni,lizard,275.1744042
297,411,Amphiglossus decaryi,lizard,42.29600218
298,412,Amphiglossus elongatus,lizard,1157.180409
299,413,Amphiglossus frontoparietalis,lizard,796.4662537
300,414,Amphiglossus gastrostictus,lizard,530.345883
301,417,Amphiglossus mandady,lizard,2.950727016
302,418,Amphiglossus mandokava,lizard,241.1832443
303,419,Amphiglossus melanurus,lizard,1145.231316
304,421,Amphiglossus ornaticeps,lizard,21969.98355
305,422,Amphiglossus punctatus,lizard,1166.45193
306,423,Amphiglossus reticulatus,lizard,3877.091024
307,425,Amphiglossus splendidus,lizard,36.41205042
308,426,Amphiglossus stylus,lizard,6.523215471
309,427,Amphiglossus tanysoma,lizard,314.2740764
310,430,Amphisbaena absaberi,worm lizard,63.14235656
311,432,Amphisbaena alba,worm lizard,2978638.143
312,433,Amphisbaena albocingulata,worm lizard,39176.88484
313,434,Amphisbaena amazonica,worm lizard,133349.6359
314,436,Amphisbaena angustifrons,worm lizard,846285.7359
315,437,Amphisbaena anomala,worm lizard,114.9817494
316,438,Amphisbaena arda,worm lizard,4.41527391
317,441,Amphisbaena bakeri,worm lizard,0.425301158
318,442,Amphisbaena barbouri,worm lizard,3608.059325
319,443,Amphisbaena bassleri,worm lizard,124254.1098
320,445,Amphisbaena bilabialatus,worm lizard,6091.948503
321,446,Amphisbaena bolivica,worm lizard,538120.9052
322,447,Amphisbaena borelli,worm lizard,4444.411366
323,448,Amphisbaena brasiliana,worm lizard,4870.622827
324,450,Amphisbaena caeca,worm lizard,520.7464604
325,452,Amphisbaena camura,worm lizard,390004.1684
326,453,Amphisbaena carlgansi,worm lizard,0.089545022
327,456,Amphisbaena caudalis,worm lizard,1.447139638
328,457,Amphisbaena cayemite,worm lizard,0.437802227
329,460,Amphisbaena crisae,worm lizard,19.99256136
330,461,Amphisbaena cubana,worm lizard,11464.33214
331,464,Amphisbaena darwini,worm lizard,1180898.705
332,465,Amphisbaena dubia,worm lizard,2421.634914
333,466,Amphisbaena fenestrata,worm lizard,63.95913525
334,467,Amphisbaena frontalis,worm lizard,8762.590627
335,468,Amphisbaena fuliginosa,worm lizard,1123627.528
336,469,Amphisbaena gonavensis,worm lizard,31.41516352
337,470,Amphisbaena gracilis,worm lizard,8666.900504
338,471,Amphisbaena hastata,worm lizard,9.996280759
339,472,Amphisbaena heathi,worm lizard,73.47328831
340,473,Amphisbaena heterozonata,worm lizard,1439670.957
341,474,Amphisbaena hiata,worm lizard,7860.563815
342,475,Amphisbaena hogei,worm lizard,1864.108705
343,478,Amphisbaena ignatiana,worm lizard,9.996280671
344,479,Amphisbaena infraorbitale,worm lizard,14.89455102
345,480,Amphisbaena innocens,worm lizard,459.8558336
346,481,Amphisbaena kingii,worm lizard,924783.2032
347,482,Amphisbaena kisteumacheri,worm lizard,10.6955607
348,485,Amphisbaena leeseri,worm lizard,11708.32346
349,487,Amphisbaena littoralis,worm lizard,201.8735347
350,489,Amphisbaena manni,worm lizard,4583.68886
351,492,Amphisbaena medemi,worm lizard,105.5479523
352,494,Amphisbaena mertensii,worm lizard,60079.71779
353,496,Amphisbaena microcephalum,worm lizard,841024.6144
354,497,Amphisbaena miringoera,worm lizard,0.239848266
355,498,Amphisbaena mitchelli,worm lizard,5486.429125
356,499,Amphisbaena munoai,worm lizard,9693.298564
357,501,Amphisbaena neglecta,worm lizard,79372.95799
358,502,Amphisbaena nigricauda,worm lizard,1968.676009
359,503,Amphisbaena occidentalis,worm lizard,5087.308578
360,504,Amphisbaena octostegum,worm lizard,17.17202824
361,507,Amphisbaena plumbea,worm lizard,111397.5895
362,509,Amphisbaena polystegum,worm lizard,96778.72537
363,510,Amphisbaena pretrei,worm lizard,13406.79429
364,511,Amphisbaena prunicolor,worm lizard,32374.22164
365,517,Amphisbaena schmidti,worm lizard,202.9937349
366,518,Amphisbaena scutigerum,worm lizard,128.4859189
367,519,Amphisbaena silvestrii,worm lizard,7137.801513
368,520,Amphisbaena slateri,worm lizard,4047.401765
369,521,Amphisbaena slevini,worm lizard,49.01780086
370,523,Amphisbaena steindachneri,worm lizard,5947.639954
371,527,Amphisbaena townsendi,worm lizard,7125.228701
372,528,Amphisbaena trachura,worm lizard,119199.9929
373,529,Amphisbaena tragorrhectes,worm lizard,97.60306692
374,532,Amphisbaena varia,worm lizard,359920.106
375,533,Amphisbaena vermicularis,worm lizard,79119.02187
376,534,Amphisbaena wiedi,worm lizard,1459.591307
377,535,Amphisbaena wuchereri,worm lizard,208.5608299
378,536,Amphisbaena xera,worm lizard,6.657664324
379,537,Amplorhinus multimaculatus,snake,910.1604658
380,538,Amyda cartilaginea,turtle,620023.0843
